architecture	library	object	caller	linker_symbol	normalized_symbol	occurrences	source_first_disposition	source_candidates	binding_rule
"x86"	"original-softpc-host-roots.lib"	"nt_reset.obj"	"_host_terminate"	"_ExitVDM@8"	"ExitVDM"	"1"	"adapter-win32-or-host-boundary"	""	"modern public Win32/NT facade or named OpenNT host boundary required; do not invent a replacement in SoftPC"
"x86"	"original-softpc-host-roots.lib"	"nt_msscs.obj"	"_scs_init"	"_GetNextVDMCommand@4"	"GetNextVDMCommand"	"1"	"adapter-win32-or-host-boundary"	""	"modern public Win32/NT facade or named OpenNT host boundary required; do not invent a replacement in SoftPC"
"x86"	"original-softpc-host-roots.lib"	"nt_msscs.obj"	"_InitialiseDosEmulation"	"_NtCurrentProcess"	"NtCurrentProcess"	"1"	"adapter-win32-or-host-boundary"	""	"modern public Win32/NT facade or named OpenNT host boundary required; do not invent a replacement in SoftPC"
"x86"	"original-softpc-host-roots.lib"	"nt_error.obj"	"_WOWpSysErrorBox"	"_NtRaiseHardError"	"NtRaiseHardError"	"1"	"adapter-win32-or-host-boundary"	""	"modern public Win32/NT facade or named OpenNT host boundary required; do not invent a replacement in SoftPC"
"x86"	"original-softpc-host-roots.lib"	"nt_error.obj"	"_OemMessageToAnsiMessage"	"_opennt_support_current_teb@0"	"opennt_support_current_teb"	"1"	"adapter-win32-or-host-boundary"	""	"modern public Win32/NT facade or named OpenNT host boundary required; do not invent a replacement in SoftPC"
"x86"	"original-softpc-host-roots.lib"	"nt_msscs.obj"	"_SetupInstallableVDD"	"_SafeLoadLibrary"	"SafeLoadLibrary"	"1"	"adapter-win32-or-host-boundary"	""	"modern public Win32/NT facade or named OpenNT host boundary required; do not invent a replacement in SoftPC"
"x86"	"original-ccpu386.lib"	"sasCdef.obj"	""	"_c_sas_touch"	"c_sas_touch"	"1"	"debugbreak-patch-default"	""	"fmstubs.c preserves its original immediate debugger-break default (x86 int 3; x64 __debugbreak); a mapping-backed replacement remains disabled pending an owner-approved runtime contract"
"x86"	"original-ccpu386.lib"	"sasCdef.obj"	""	"_c_VirtualiseInstruction"	"c_VirtualiseInstruction"	"1"	"debugbreak-patch-default"	""	"fmstubs.c preserves its original immediate debugger-break default (x86 int 3; x64 __debugbreak); a mapping-backed replacement remains disabled pending an owner-approved runtime contract"
"x86"	"original-ccpu386.lib"	"c_main.obj"	"_ccpu"	"_EDL_fast_bop"	"EDL_fast_bop"	"1"	"debugbreak-patch-default"	""	"fmstubs.c preserves its original immediate debugger-break default (x86 int 3; x64 __debugbreak); a mapping-backed replacement remains disabled pending an owner-approved runtime contract"
"x86"	"original-softpc-host-roots.lib"	"nt_mem.obj"	"_VdmAddVirtualMemory"	"_VdmSetPhysRecStructs"	"VdmSetPhysRecStructs"	"1"	"debugbreak-patch-default"	""	"fmstubs.c preserves its original immediate debugger-break default (x86 int 3; x64 __debugbreak); a mapping-backed replacement remains disabled pending an owner-approved runtime contract"
