architecture	library	object	caller	linker_symbol	normalized_symbol	occurrences	source_first_disposition	source_candidates	binding_rule
"x64"	"original-softpc-host-roots.lib"	"nt_reset.obj"	"host_terminate"	"ExitVDM"	"ExitVDM"	"1"	"adapter-win32-or-host-boundary"	""	"modern public Win32/NT facade or named OpenNT host boundary required; do not invent a replacement in SoftPC"
"x64"	"original-softpc-host-roots.lib"	"nt_msscs.obj"	"scs_init"	"GetNextVDMCommand"	"GetNextVDMCommand"	"1"	"adapter-win32-or-host-boundary"	""	"modern public Win32/NT facade or named OpenNT host boundary required; do not invent a replacement in SoftPC"
"x64"	"original-softpc-host-roots.lib"	"nt_msscs.obj"	"InitialiseDosEmulation"	"NtCurrentProcess"	"NtCurrentProcess"	"1"	"adapter-win32-or-host-boundary"	""	"modern public Win32/NT facade or named OpenNT host boundary required; do not invent a replacement in SoftPC"
"x64"	"original-softpc-host-roots.lib"	"nt_error.obj"	"OemMessageToAnsiMessage"	"opennt_support_current_teb"	"opennt_support_current_teb"	"1"	"adapter-win32-or-host-boundary"	""	"modern public Win32/NT facade or named OpenNT host boundary required; do not invent a replacement in SoftPC"
"x64"	"original-softpc-host-roots.lib"	"nt_msscs.obj"	"SetupInstallableVDD"	"SafeLoadLibrary"	"SafeLoadLibrary"	"1"	"adapter-win32-or-host-boundary"	""	"modern public Win32/NT facade or named OpenNT host boundary required; do not invent a replacement in SoftPC"
"x64"	"original-ccpu386.lib"	"sasCdef.obj"	""	"c_sas_touch"	"c_sas_touch"	"1"	"debugbreak-patch-default"	""	"fmstubs.c preserves its original immediate debugger-break default through __debugbreak() on both x86 and x64; a mapping-backed replacement remains disabled pending an owner-approved runtime contract"
"x64"	"original-ccpu386.lib"	"sasCdef.obj"	""	"c_VirtualiseInstruction"	"c_VirtualiseInstruction"	"1"	"debugbreak-patch-default"	""	"fmstubs.c preserves its original immediate debugger-break default through __debugbreak() on both x86 and x64; a mapping-backed replacement remains disabled pending an owner-approved runtime contract"
"x64"	"original-ccpu386.lib"	"c_main.obj"	"ccpu"	"EDL_fast_bop"	"EDL_fast_bop"	"1"	"debugbreak-patch-default"	""	"fmstubs.c preserves its original immediate debugger-break default through __debugbreak() on both x86 and x64; a mapping-backed replacement remains disabled pending an owner-approved runtime contract"
"x64"	"original-softpc-host-roots.lib"	"nt_mem.obj"	"VdmAddVirtualMemory"	"VdmSetPhysRecStructs"	"VdmSetPhysRecStructs"	"1"	"debugbreak-patch-default"	""	"fmstubs.c preserves its original immediate debugger-break default through __debugbreak() on both x86 and x64; a mapping-backed replacement remains disabled pending an owner-approved runtime contract"
"x64"	"original-softpc-host-roots.lib"	"nt_msscs.obj"	"scs_init"	"CMDInit"	"CMDInit"	"1"	"select-original-mvdm-provider-source"	""	"select the original MVDM provider package and preserve its entry before adding any adapter binding"
"x64"	"original-softpc-host-roots.lib"	"nt_msscs.obj"	"scs_init"	"DBGInit"	"DBGInit"	"1"	"select-original-mvdm-provider-source"	""	"select the original MVDM provider package and preserve its entry before adding any adapter binding"
"x64"	"original-softpc-host-roots.lib"	"nt_msscs.obj"	"scs_init"	"DemInit"	"DemInit"	"1"	"select-original-mvdm-provider-source"	""	"select the original MVDM provider package and preserve its entry before adding any adapter binding"
"x64"	"original-softpc-host-roots.lib"	"nt_msscs.obj"	"init_lim_configuration_data"	"GetPIFConfigFiles"	"GetPIFConfigFiles"	"1"	"select-original-mvdm-provider-source"	"softpc.new/host/src/nt_pif.c:60 (retain-source-shaped-host-provider -> opennt-mvdm-host original monitor, BOP, session, host-capability, configuration, VDD or error provider -> named adapters and session; Bochs receives only typed mechanical requests)"	"select the original MVDM provider package and preserve its entry before adding any adapter binding"
"x64"	"original-softpc-host-roots.lib"	"nt_msscs.obj"	"InitialiseDosEmulation"	"io_init"	"io_init"	"1"	"select-original-mvdm-provider-source"	"softpc.new/base/support/ios.c:966 (exclude-alternate-softpc-support-shell -> bochs-core and app own corresponding machine lifecycle/product composition)"	"select the original MVDM provider package and preserve its entry before adding any adapter binding"
"x64"	"original-softpc-host-roots.lib"	"nt_msscs.obj"	"scs_init"	"XMSInit"	"XMSInit"	"1"	"select-original-mvdm-provider-source"	""	"select the original MVDM provider package and preserve its entry before adding any adapter binding"
"x64"	"original-softpc-host-roots.lib"	"nt_umb.obj"	"ReleaseUMB"	"xmsReleaseUMBNotify"	"xmsReleaseUMBNotify"	"1"	"select-original-mvdm-provider-source"	""	"select the original MVDM provider package and preserve its entry before adding any adapter binding"
"x64"	"original-softpc-bios.lib"	"emm_fncs.obj"	"reset_emm_funcs"	"activate_altreg_set"	"activate_altreg_set"	"1"	"select-original-mvdm-source"	"softpc.new/base/dos/emm_mngr.c:1842 (exclude-bochs-pc-device-executor -> bochs-core via adapter-bochs; no second PIC/PIT/CMOS/DMA/video/disk/serial/keyboard/mouse/EMS device executor)"	"physical original source definition is available; select its owner package before any replacement"
"x64"	"original-softpc-bios.lib"	"emm_fncs.obj"	"reset_emm_funcs"	"alloc_page"	"alloc_page"	"1"	"select-original-mvdm-source"	"softpc.new/base/dos/emm_mngr.c:914 (exclude-bochs-pc-device-executor -> bochs-core via adapter-bochs; no second PIC/PIT/CMOS/DMA/video/disk/serial/keyboard/mouse/EMS device executor)"	"physical original source definition is available; select its owner package before any replacement"
"x64"	"original-softpc-bios.lib"	"emm_fncs.obj"	"reset_emm_funcs"	"allocate_altreg_set"	"allocate_altreg_set"	"1"	"select-original-mvdm-source"	"softpc.new/base/dos/emm_mngr.c:1780 (exclude-bochs-pc-device-executor -> bochs-core via adapter-bochs; no second PIC/PIT/CMOS/DMA/video/disk/serial/keyboard/mouse/EMS device executor)"	"physical original source definition is available; select its owner package before any replacement"
"x64"	"original-softpc-bios.lib"	"emm_fncs.obj"	"reset_emm_funcs"	"altreg_set_ok"	"altreg_set_ok"	"1"	"select-original-mvdm-source"	"softpc.new/base/dos/emm_mngr.c:1755 (exclude-bochs-pc-device-executor -> bochs-core via adapter-bochs; no second PIC/PIT/CMOS/DMA/video/disk/serial/keyboard/mouse/EMS device executor)"	"physical original source definition is available; select its owner package before any replacement"
"x64"	"original-softpc-keymouse.lib"	"mouse_io.obj"	"mouse_install1"	"clear_string"	"clear_string"	"1"	"select-original-mvdm-source"	"softpc.new/base/system/rom.c:709 (exclude-bochs-pc-device-executor -> bochs-core via adapter-bochs; no second PIC/PIT/CMOS/DMA/video/disk/serial/keyboard/mouse/EMS device executor)"	"physical original source definition is available; select its owner package before any replacement"
"x64"	"original-softpc-bios.lib"	"reset.obj"	"reset_bios_flags"	"cmos_clear_shutdown_byte"	"cmos_clear_shutdown_byte"	"1"	"select-original-mvdm-source"	"softpc.new/base/system/cmos.c:1244 (exclude-bochs-pc-device-executor -> bochs-core via adapter-bochs; no second PIC/PIT/CMOS/DMA/video/disk/serial/keyboard/mouse/EMS device executor) | softpc.new/base/system/cmosnt.c:1205 (exclude-bochs-pc-device-executor -> bochs-core via adapter-bochs; no second PIC/PIT/CMOS/DMA/video/disk/serial/keyboard/mouse/EMS device executor)"	"physical original source definition is available; select its owner package before any replacement"
