architecture	library	object	caller	linker_symbol	normalized_symbol	occurrences	source_first_disposition	source_candidates	binding_rule
"x64"	"original-softpc-host-roots.lib"	"nt_reset.obj"	"host_terminate"	"ExitVDM"	"ExitVDM"	"1"	"adapter-win32-or-host-boundary"	""	"modern public Win32/NT facade or named OpenNT host boundary required; do not invent a replacement in SoftPC"
"x64"	"original-softpc-host-roots.lib"	"config.obj"	"config"	"GetNextVDMCommand"	"GetNextVDMCommand"	"1"	"adapter-win32-or-host-boundary"	""	"modern public Win32/NT facade or named OpenNT host boundary required; do not invent a replacement in SoftPC"
"x64"	"original-softpc-host-roots.lib"	"nt_msscs.obj"	""	"GetNextVDMCommand"	"GetNextVDMCommand"	"1"	"adapter-win32-or-host-boundary"	""	"modern public Win32/NT facade or named OpenNT host boundary required; do not invent a replacement in SoftPC"
"x64"	"original-softpc-host-roots.lib"	"config.obj"	"config"	"NtCurrentPeb"	"NtCurrentPeb"	"1"	"adapter-win32-or-host-boundary"	""	"modern public Win32/NT facade or named OpenNT host boundary required; do not invent a replacement in SoftPC"
"x64"	"original-softpc-host-roots.lib"	"nt_msscs.obj"	"InitialiseDosEmulation"	"NtCurrentProcess"	"NtCurrentProcess"	"1"	"adapter-win32-or-host-boundary"	""	"modern public Win32/NT facade or named OpenNT host boundary required; do not invent a replacement in SoftPC"
"x64"	"original-softpc-host-roots.lib"	"nt_error.obj"	""	"opennt_support_current_teb"	"opennt_support_current_teb"	"1"	"adapter-win32-or-host-boundary"	""	"modern public Win32/NT facade or named OpenNT host boundary required; do not invent a replacement in SoftPC"
"x64"	"original-softpc-host-roots.lib"	"nt_fdisk.obj"	"nt_fdisk_init"	"opennt_support_current_teb"	"opennt_support_current_teb"	"1"	"adapter-win32-or-host-boundary"	""	"modern public Win32/NT facade or named OpenNT host boundary required; do not invent a replacement in SoftPC"
"x64"	"original-softpc-host-roots.lib"	"nt_msscs.obj"	"SetupInstallableVDD"	"SafeLoadLibrary"	"SafeLoadLibrary"	"1"	"adapter-win32-or-host-boundary"	""	"modern public Win32/NT facade or named OpenNT host boundary required; do not invent a replacement in SoftPC"
"x64"	"original-ccpu386.lib"	"sasCdef.obj"	""	"c_sas_touch"	"c_sas_touch"	"1"	"debugbreak-patch-default"	""	"fmstubs.c preserves its original immediate debugger-break default through __debugbreak() on both x86 and x64; no replacement implementation is retained"
"x64"	"original-ccpu386.lib"	"sasCdef.obj"	""	"c_VirtualiseInstruction"	"c_VirtualiseInstruction"	"1"	"debugbreak-patch-default"	""	"fmstubs.c preserves its original immediate debugger-break default through __debugbreak() on both x86 and x64; no replacement implementation is retained"
"x64"	"original-ccpu386.lib"	"c_main.obj"	"ccpu"	"EDL_fast_bop"	"EDL_fast_bop"	"1"	"debugbreak-patch-default"	""	"fmstubs.c preserves its original immediate debugger-break default through __debugbreak() on both x86 and x64; no replacement implementation is retained"
"x64"	"original-softpc-host-roots.lib"	"nt_mem.obj"	"VdmAddVirtualMemory"	"VdmSetPhysRecStructs"	"VdmSetPhysRecStructs"	"1"	"debugbreak-patch-default"	""	"fmstubs.c preserves its original immediate debugger-break default through __debugbreak() on both x86 and x64; no replacement implementation is retained"
"x64"	"original-softpc-host-roots.lib"	"nt_unix.obj"	"WaitIfIdle"	"ActivityCheckAfterTimeSlice"	"ActivityCheckAfterTimeSlice"	"1"	"exact-owner-review"	""	"no selected original definition found by the current zero-degree ledger; preserve unresolved form for source-first follow-up"
"x64"	"original-softpc-host-roots.lib"	"config.obj"	"process_pif_exe"	"CntrlHandlerState"	"CntrlHandlerState"	"1"	"exact-owner-review"	""	"no selected original definition found by the current zero-degree ledger; preserve unresolved form for source-first follow-up"
"x64"	"original-softpc-host-roots.lib"	"nt_fdisk.obj"	"nt_fdisk_current_pdb"	"current_pdb_location"	"current_pdb_location"	"1"	"exact-owner-review"	""	"no selected original definition found by the current zero-degree ledger; preserve unresolved form for source-first follow-up"
"x64"	"original-softpc-host-roots.lib"	"nt_fdisk.obj"	"get_fdisk_handle"	"DiskOpenRetry"	"DiskOpenRetry"	"1"	"exact-owner-review"	""	"no selected original definition found by the current zero-degree ledger; preserve unresolved form for source-first follow-up"
"x64"	"original-softpc-host-roots.lib"	"nt_pif.obj"	"GetPIFConfigFiles"	"ExpandEnvironmentStringsOem"	"ExpandEnvironmentStringsOem"	"1"	"exact-owner-review"	""	"no selected original definition found by the current zero-degree ledger; preserve unresolved form for source-first follow-up"
"x64"	"original-softpc-host-roots.lib"	"nt_fdisk.obj"	"nt_fdisk_current_pdb"	"mvdm_guest_location_read_u16"	"mvdm_guest_location_read_u16"	"1"	"exact-owner-review"	""	"no selected original definition found by the current zero-degree ledger; preserve unresolved form for source-first follow-up"
"x64"	"original-softpc-host-roots.lib"	"config.obj"	"DisablePIFKeySetup"	"SetConsoleKeyShortcuts"	"SetConsoleKeyShortcuts"	"1"	"exact-owner-review"	""	"no selected original definition found by the current zero-degree ledger; preserve unresolved form for source-first follow-up"
"x64"	"original-softpc-host-roots.lib"	"config.obj"	"config"	"xmsMemorySize"	"xmsMemorySize"	"1"	"exact-owner-review"	""	"no selected original definition found by the current zero-degree ledger; preserve unresolved form for source-first follow-up"
"x64"	"original-softpc-host-roots.lib"	"nt_msscs.obj"	"scs_init"	"CMDInit"	"CMDInit"	"1"	"select-original-mvdm-provider-source"	""	"select the original MVDM provider package and preserve its entry before adding any adapter binding"
"x64"	"original-softpc-host-roots.lib"	"nt_msscs.obj"	"scs_init"	"DBGInit"	"DBGInit"	"1"	"select-original-mvdm-provider-source"	""	"select the original MVDM provider package and preserve its entry before adding any adapter binding"
"x64"	"original-softpc-host-roots.lib"	"nt_msscs.obj"	"scs_init"	"DemInit"	"DemInit"	"1"	"select-original-mvdm-provider-source"	""	"select the original MVDM provider package and preserve its entry before adding any adapter binding"
"x64"	"original-softpc-host-roots.lib"	"nt_msscs.obj"	"scs_init"	"XMSInit"	"XMSInit"	"1"	"select-original-mvdm-provider-source"	""	"select the original MVDM provider package and preserve its entry before adding any adapter binding"
"x64"	"original-softpc-host-roots.lib"	"nt_umb.obj"	"ReleaseUMB"	"xmsReleaseUMBNotify"	"xmsReleaseUMBNotify"	"1"	"select-original-mvdm-provider-source"	""	"select the original MVDM provider package and preserve its entry before adding any adapter binding"
"x64"	"original-softpc-bios.lib"	"emm_fncs.obj"	"reset_emm_funcs"	"activate_altreg_set"	"activate_altreg_set"	"1"	"select-original-mvdm-source"	"softpc.new/base/dos/emm_mngr.c:1842 (exclude-bochs-pc-device-executor -> bochs-core via adapter-bochs; no second PIC/PIT/CMOS/DMA/video/disk/serial/keyboard/mouse/EMS device executor)"	"physical original source definition is available; select its owner package before any replacement"
"x64"	"original-softpc-bios.lib"	"emm_fncs.obj"	"reset_emm_funcs"	"alloc_page"	"alloc_page"	"1"	"select-original-mvdm-source"	"softpc.new/base/dos/emm_mngr.c:914 (exclude-bochs-pc-device-executor -> bochs-core via adapter-bochs; no second PIC/PIT/CMOS/DMA/video/disk/serial/keyboard/mouse/EMS device executor)"	"physical original source definition is available; select its owner package before any replacement"
"x64"	"original-softpc-bios.lib"	"emm_fncs.obj"	"reset_emm_funcs"	"allocate_altreg_set"	"allocate_altreg_set"	"1"	"select-original-mvdm-source"	"softpc.new/base/dos/emm_mngr.c:1780 (exclude-bochs-pc-device-executor -> bochs-core via adapter-bochs; no second PIC/PIT/CMOS/DMA/video/disk/serial/keyboard/mouse/EMS device executor)"	"physical original source definition is available; select its owner package before any replacement"
"x64"	"original-softpc-bios.lib"	"emm_fncs.obj"	"reset_emm_funcs"	"altreg_set_ok"	"altreg_set_ok"	"1"	"select-original-mvdm-source"	"softpc.new/base/dos/emm_mngr.c:1755 (exclude-bochs-pc-device-executor -> bochs-core via adapter-bochs; no second PIC/PIT/CMOS/DMA/video/disk/serial/keyboard/mouse/EMS device executor)"	"physical original source definition is available; select its owner package before any replacement"
"x64"	"original-softpc-bios.lib"	"reset.obj"	"reset"	"com_init"	"com_init"	"1"	"select-original-mvdm-source"	"softpc.new/base/comms/com.c:2617 (exclude-bochs-pc-device-executor -> bochs-core via adapter-bochs; no second PIC/PIT/CMOS/DMA/video/disk/serial/keyboard/mouse/EMS device executor)"	"physical original source definition is available; select its owner package before any replacement"
"x64"	"original-softpc-bios.lib"	"reset.obj"	"reset"	"com_post"	"com_post"	"1"	"select-original-mvdm-source"	"softpc.new/base/comms/com.c:2667 (exclude-bochs-pc-device-executor -> bochs-core via adapter-bochs; no second PIC/PIT/CMOS/DMA/video/disk/serial/keyboard/mouse/EMS device executor)"	"physical original source definition is available; select its owner package before any replacement"
"x64"	"original-softpc-bios.lib"	"emm_fncs.obj"	"reset_emm_funcs"	"copy_exchange_data"	"copy_exchange_data"	"1"	"select-original-mvdm-source"	"softpc.new/base/dos/emm_mngr.c:1495 (exclude-bochs-pc-device-executor -> bochs-core via adapter-bochs; no second PIC/PIT/CMOS/DMA/video/disk/serial/keyboard/mouse/EMS device executor)"	"physical original source definition is available; select its owner package before any replacement"
"x64"	"original-softpc-bios.lib"	"emm_fncs.obj"	"reset_emm_funcs"	"deallocate_altreg_set"	"deallocate_altreg_set"	"1"	"select-original-mvdm-source"	"softpc.new/base/dos/emm_mngr.c:1820 (exclude-bochs-pc-device-executor -> bochs-core via adapter-bochs; no second PIC/PIT/CMOS/DMA/video/disk/serial/keyboard/mouse/EMS device executor)"	"physical original source definition is available; select its owner package before any replacement"
