architecture	library	object	caller	linker_symbol	normalized_symbol	occurrences	source_first_disposition	source_candidates	binding_rule
"x64"	"original-softpc-host-roots.lib"	"nt_reset.obj"	"host_terminate"	"ExitVDM"	"ExitVDM"	"1"	"adapter-win32-or-host-boundary"	""	"modern public Win32/NT facade or named OpenNT host boundary required; do not invent a replacement in SoftPC"
"x64"	"original-softpc-host-roots.lib"	"config.obj"	"config"	"GetNextVDMCommand"	"GetNextVDMCommand"	"1"	"adapter-win32-or-host-boundary"	""	"modern public Win32/NT facade or named OpenNT host boundary required; do not invent a replacement in SoftPC"
"x64"	"original-softpc-host-roots.lib"	"nt_msscs.obj"	""	"GetNextVDMCommand"	"GetNextVDMCommand"	"1"	"adapter-win32-or-host-boundary"	""	"modern public Win32/NT facade or named OpenNT host boundary required; do not invent a replacement in SoftPC"
"x64"	"original-softpc-host-roots.lib"	"config.obj"	"config"	"NtCurrentPeb"	"NtCurrentPeb"	"1"	"adapter-win32-or-host-boundary"	""	"modern public Win32/NT facade or named OpenNT host boundary required; do not invent a replacement in SoftPC"
"x64"	"original-softpc-host-roots.lib"	"nt_error.obj"	""	"opennt_support_current_teb"	"opennt_support_current_teb"	"1"	"adapter-win32-or-host-boundary"	""	"modern public Win32/NT facade or named OpenNT host boundary required; do not invent a replacement in SoftPC"
"x64"	"original-softpc-host-roots.lib"	"nt_fdisk.obj"	""	"opennt_support_current_teb"	"opennt_support_current_teb"	"1"	"adapter-win32-or-host-boundary"	""	"modern public Win32/NT facade or named OpenNT host boundary required; do not invent a replacement in SoftPC"
"x64"	"original-softpc-host-roots.lib"	"nt_rflop.obj"	"nt_rdiskette_open_drive"	"opennt_support_current_teb"	"opennt_support_current_teb"	"1"	"adapter-win32-or-host-boundary"	""	"modern public Win32/NT facade or named OpenNT host boundary required; do not invent a replacement in SoftPC"
"x64"	"original-ccpu386.lib"	"sasCdef.obj"	""	"c_sas_touch"	"c_sas_touch"	"1"	"debugbreak-patch-default"	""	"fmstubs.c preserves its original immediate debugger-break default through __debugbreak() on both x86 and x64; no replacement implementation is retained"
"x64"	"original-ccpu386.lib"	"sasCdef.obj"	""	"c_VirtualiseInstruction"	"c_VirtualiseInstruction"	"1"	"debugbreak-patch-default"	""	"fmstubs.c preserves its original immediate debugger-break default through __debugbreak() on both x86 and x64; no replacement implementation is retained"
"x64"	"original-ccpu386.lib"	"c_main.obj"	"ccpu"	"EDL_fast_bop"	"EDL_fast_bop"	"1"	"debugbreak-patch-default"	""	"fmstubs.c preserves its original immediate debugger-break default through __debugbreak() on both x86 and x64; no replacement implementation is retained"
"x64"	"original-softpc-host-roots.lib"	"nt_mem.obj"	"VdmAddVirtualMemory"	"VdmSetPhysRecStructs"	"VdmSetPhysRecStructs"	"1"	"debugbreak-patch-default"	""	"fmstubs.c preserves its original immediate debugger-break default through __debugbreak() on both x86 and x64; no replacement implementation is retained"
"x64"	"original-softpc-host-roots.lib"	"nt_eoi.obj"	"BlockWOWIdle"	"ActivityCheckAfterTimeSlice"	"ActivityCheckAfterTimeSlice"	"1"	"exact-owner-review"	""	"no selected original definition found by the current zero-degree ledger; preserve unresolved form for source-first follow-up"
"x64"	"original-softpc-host-roots.lib"	"nt_unix.obj"	""	"ActivityCheckAfterTimeSlice"	"ActivityCheckAfterTimeSlice"	"1"	"exact-owner-review"	""	"no selected original definition found by the current zero-degree ledger; preserve unresolved form for source-first follow-up"
"x64"	"original-softpc-host-roots.lib"	"config.obj"	"process_pif_exe"	"CntrlHandlerState"	"CntrlHandlerState"	"1"	"exact-owner-review"	""	"no selected original definition found by the current zero-degree ledger; preserve unresolved form for source-first follow-up"
"x64"	"original-softpc-host-roots.lib"	"nt_fdisk.obj"	""	"current_pdb_location"	"current_pdb_location"	"1"	"exact-owner-review"	""	"no selected original definition found by the current zero-degree ledger; preserve unresolved form for source-first follow-up"
"x64"	"original-softpc-host-roots.lib"	"nt_rflop.obj"	"nt_rflop_current_pdb"	"current_pdb_location"	"current_pdb_location"	"1"	"exact-owner-review"	""	"no selected original definition found by the current zero-degree ledger; preserve unresolved form for source-first follow-up"
"x64"	"original-softpc-host-roots.lib"	"nt_timer.obj"	"host_timer_event"	"DemHeartBeat"	"DemHeartBeat"	"1"	"exact-owner-review"	""	"no selected original definition found by the current zero-degree ledger; preserve unresolved form for source-first follow-up"
"x64"	"original-softpc-host-roots.lib"	"nt_pif.obj"	"GetPIFConfigFiles"	"ExpandEnvironmentStringsOem"	"ExpandEnvironmentStringsOem"	"1"	"exact-owner-review"	""	"no selected original definition found by the current zero-degree ledger; preserve unresolved form for source-first follow-up"
"x64"	"original-softpc-disks.lib"	"fdisk.obj"	""	"host_delays"	"host_delays"	"1"	"exact-owner-review"	""	"no selected original definition found by the current zero-degree ledger; preserve unresolved form for source-first follow-up"
"x64"	"original-softpc-disks.lib"	"fla.obj"	"fdc_command_completed"	"host_delays"	"host_delays"	"1"	"exact-owner-review"	""	"no selected original definition found by the current zero-degree ledger; preserve unresolved form for source-first follow-up"
"x64"	"original-softpc-video.lib"	"video.obj"	"vd_write_teletype"	"host_ring_bell"	"host_ring_bell"	"1"	"exact-owner-review"	""	"no selected original definition found by the current zero-degree ledger; preserve unresolved form for source-first follow-up"
"x64"	"original-softpc-host-roots.lib"	"nt_fdisk.obj"	""	"mvdm_guest_location_read_u16"	"mvdm_guest_location_read_u16"	"1"	"exact-owner-review"	""	"no selected original definition found by the current zero-degree ledger; preserve unresolved form for source-first follow-up"
"x64"	"original-softpc-host-roots.lib"	"nt_rflop.obj"	"nt_rflop_current_pdb"	"mvdm_guest_location_read_u16"	"mvdm_guest_location_read_u16"	"1"	"exact-owner-review"	""	"no selected original definition found by the current zero-degree ledger; preserve unresolved form for source-first follow-up"
"x64"	"original-softpc-host-roots.lib"	"nt_mem.obj"	"VdmAddVirtualMemory"	"mvdm_softpc_physical_mapping_cancel"	"mvdm_softpc_physical_mapping_cancel"	"1"	"exact-owner-review"	""	"no selected original definition found by the current zero-degree ledger; preserve unresolved form for source-first follow-up"
"x64"	"original-softpc-host-roots.lib"	"nt_mem.obj"	"VdmAddVirtualMemory"	"mvdm_softpc_physical_mapping_prepare"	"mvdm_softpc_physical_mapping_prepare"	"1"	"exact-owner-review"	""	"no selected original definition found by the current zero-degree ledger; preserve unresolved form for source-first follow-up"
"x64"	"original-ccpu386.lib"	"ccpusas4.obj"	"c_GetPhyAdd"	"mvdm_softpc_physical_mapping_resolve"	"mvdm_softpc_physical_mapping_resolve"	"1"	"exact-owner-review"	""	"no selected original definition found by the current zero-degree ledger; preserve unresolved form for source-first follow-up"
"x64"	"original-softpc-video.lib"	"gfx_updt.obj"	"text_update"	"paint_screen"	"paint_screen"	"1"	"exact-owner-review"	""	"no selected original definition found by the current zero-degree ledger; preserve unresolved form for source-first follow-up"
"x64"	"original-softpc-host-roots.lib"	"nt_timer.obj"	"CreepAdjust"	"RtlExtendedIntegerMultiply"	"RtlExtendedIntegerMultiply"	"1"	"exact-owner-review"	""	"no selected original definition found by the current zero-degree ledger; preserve unresolved form for source-first follow-up"
"x64"	"original-softpc-host-roots.lib"	"nt_timer.obj"	"host_GetSysTime"	"RtlExtendedLargeIntegerDivide"	"RtlExtendedLargeIntegerDivide"	"1"	"exact-owner-review"	""	"no selected original definition found by the current zero-degree ledger; preserve unresolved form for source-first follow-up"
"x64"	"softpc-bindings.lib"	"mvdm_softpc_firmware.obj"	"mvdm_softpc_dos_find_file"	"session_dos_media_root"	"session_dos_media_root"	"1"	"exact-owner-review"	""	"no selected original definition found by the current zero-degree ledger; preserve unresolved form for source-first follow-up"
"x64"	"softpc-bindings.lib"	"mvdm_softpc_firmware.obj"	"mvdm_softpc_firmware_find_file"	"session_firmware_root"	"session_firmware_root"	"1"	"exact-owner-review"	""	"no selected original definition found by the current zero-degree ledger; preserve unresolved form for source-first follow-up"
"x64"	"softpc-win32-bindings.lib"	"thread_start_compat.obj"	"opennt_cdecl_thread_thunk"	"session_thread_bind"	"session_thread_bind"	"1"	"exact-owner-review"	""	"no selected original definition found by the current zero-degree ledger; preserve unresolved form for source-first follow-up"
"x64"	"softpc-bindings.lib"	"mvdm_softpc_firmware.obj"	"mvdm_softpc_firmware_find_file"	"session_thread_current"	"session_thread_current"	"1"	"exact-owner-review"	""	"no selected original definition found by the current zero-degree ledger; preserve unresolved form for source-first follow-up"
"x64"	"softpc-win32-bindings.lib"	"thread_start_compat.obj"	""	"session_thread_current"	"session_thread_current"	"1"	"exact-owner-review"	""	"no selected original definition found by the current zero-degree ledger; preserve unresolved form for source-first follow-up"
"x64"	"softpc-win32-bindings.lib"	"thread_start_compat.obj"	"opennt_cdecl_thread_thunk"	"session_thread_unbind"	"session_thread_unbind"	"1"	"exact-owner-review"	""	"no selected original definition found by the current zero-degree ledger; preserve unresolved form for source-first follow-up"
"x64"	"original-softpc-host-roots.lib"	"config.obj"	"DisablePIFKeySetup"	"SetConsoleKeyShortcuts"	"SetConsoleKeyShortcuts"	"1"	"exact-owner-review"	""	"no selected original definition found by the current zero-degree ledger; preserve unresolved form for source-first follow-up"
"x64"	"original-softpc-host-roots.lib"	"config.obj"	"config"	"xmsMemorySize"	"xmsMemorySize"	"1"	"exact-owner-review"	""	"no selected original definition found by the current zero-degree ledger; preserve unresolved form for source-first follow-up"
"x64"	"original-softpc-host-roots.lib"	"nt_msscs.obj"	"scs_init"	"CMDInit"	"CMDInit"	"1"	"select-original-mvdm-provider-source"	""	"select the original MVDM provider package and preserve its entry before adding any adapter binding"
