path	bytes	sha256	owner	purpose	retention_disposition	retirement_trigger
docs/etc/operations/m0-t260-s1-owner-provenance-build-manifest.tsv	876837	9ed29855471515acf23174cda8fc997d28560704973397252e6f22698d23eef1	project documentation governance owner	deterministic machine-readable operations evidence ledger	retained as indexed support evidence pending reviewed closure disposition	owner-approved archive or removal after closure records durable replacement, path, digest, and schema
docs/etc/operations/m0-t266-s1-refs-consumer-disposition.tsv	8064	3a4a9818df64f37b8f80971180302feb363b3ef9b36c0f2fe9e206b73fed6e65	project documentation governance owner	deterministic machine-readable operations evidence ledger	retained as indexed support evidence pending reviewed closure disposition	owner-approved archive or removal after closure records durable replacement, path, digest, and schema
docs/etc/operations/m0-t266-s3-opennt-input-disposition.tsv	11325	cec0f74634b684291edee799809043cd44d7661f95015b40d80323358f808606	project documentation governance owner	deterministic machine-readable operations evidence ledger	retained as indexed support evidence pending reviewed closure disposition	owner-approved archive or removal after closure records durable replacement, path, digest, and schema
docs/etc/operations/m0-t266-s4-historical-consumer-disposition.tsv	10276	dd135ba4136e66537af53b69d1a55ff9c0c8a01657eb673098aded6f1111251c	project documentation governance owner	deterministic machine-readable operations evidence ledger	retained as indexed support evidence pending reviewed closure disposition	owner-approved archive or removal after closure records durable replacement, path, digest, and schema
docs/etc/operations/m0-t274-s1-non-guest-mvdm-union-ledger.tsv	1740611	ad3c456725415ad24fb1316ffc03f627d16fe4f41c8c342164822c08bf74bc36	project documentation governance owner	deterministic machine-readable operations evidence ledger	retained as indexed support evidence pending reviewed closure disposition	owner-approved archive or removal after closure records durable replacement, path, digest, and schema
docs/etc/operations/m0-t274-s2-platform-abi-direct-include-ledger.tsv	150125	c5bb6bccd725c58e94879497aa21441f3de62e87a2f9067d929fe10d0051dd26	project documentation governance owner	deterministic machine-readable operations evidence ledger	retained as indexed support evidence pending reviewed closure disposition	owner-approved archive or removal after closure records durable replacement, path, digest, and schema
docs/etc/operations/m0-t274-s2-platform-abi-import-manifest.tsv	6086	b94654a5719e2311729a9e9ee237ed306098dd357e8433e2c3719b43446a5bac	project documentation governance owner	deterministic machine-readable operations evidence ledger	retained as indexed support evidence pending reviewed closure disposition	owner-approved archive or removal after closure records durable replacement, path, digest, and schema
docs/etc/operations/m0-t274-s3-dos-guest-mirror-manifest.tsv	130459	33997080284ef00497798d7c93f07bc66eb1206d97cea205d0bc1c90e456f382	project documentation governance owner	deterministic machine-readable operations evidence ledger	retained as indexed support evidence pending reviewed closure disposition	owner-approved archive or removal after closure records durable replacement, path, digest, and schema
docs/etc/operations/m0-t274-s4-bin86-carry-manifest.tsv	1785	e437969d87c10506c6a3b67ea7bd70eb0cd5abc51c6f404a63f4d98df8ae9fa6	project documentation governance owner	deterministic machine-readable operations evidence ledger	retained as indexed support evidence pending reviewed closure disposition	owner-approved archive or removal after closure records durable replacement, path, digest, and schema
docs/etc/operations/m0-t274-s4-wow16-carry-manifest.tsv	8229	9cf822e17896b729d9e5b258a5a6096f496aa58b8e691ef19e05b40c16148878	project documentation governance owner	deterministic machine-readable operations evidence ledger	retained as indexed support evidence pending reviewed closure disposition	owner-approved archive or removal after closure records durable replacement, path, digest, and schema
docs/etc/operations/m0-t274-s4-wow16-output-manifest.tsv	8478	032c73abb77defe0ff3f1fee74eb5e0279f683ea3fe80c3cb96961dfe0611e00	project documentation governance owner	deterministic machine-readable operations evidence ledger	retained as indexed support evidence pending reviewed closure disposition	owner-approved archive or removal after closure records durable replacement, path, digest, and schema
docs/etc/operations/m0-t274-s5-mvdm-host-topology-manifest.tsv	395042	c923c3ccdace2489c4a4065bdf56a0ab88c693c4773d28d16ec1772d9a07d2da	project documentation governance owner	deterministic machine-readable operations evidence ledger	retained as indexed support evidence pending reviewed closure disposition	owner-approved archive or removal after closure records durable replacement, path, digest, and schema
